ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1073742125::Definition
"1075838979::139","EMPLOYEE",Table,"EMPLOYEE","EMPLOYEE","EMPLOYEE is a person that works for the VIDEO STORE"
"1075838979::141","MOVIE",Table,"MOVIE","MOVIE","A MOVIE is any video that can be rented” for the entity “MOVIE"
"1075838979::143","STORE",Table,"STORE","STORE","A STORE is one of the MOVIE STORES where a customer can rent a movie"
"1075838979::158","MOVIE RENTAL RECORD",Table,"MOVIE RENTAL RECORD","MOVIE_RENTAL_RECORD","A MOVIE RENTAL RECORD is a record that  is kept on every MOVIE in the STORE  on who and when a MOVIE is rented"
"1075838979::160","MOVIE COPY",Table,"MOVIE COPY","MOVIE_COPY","A MOVIE COPY is a single copy of a MOVIE"
"1075838979::242","CUSTOMER",Table,"CUSTOMER","CUSTOMER","A CUSTOMER is a person or organization who has rented a movie within the past year."
"1075838979::262","CUSTOMER CREDIT",Table,"CUSTOMER CREDIT","CUSTOMER_CREDIT","CUSTOMER CREDIT is the status of available credit for a CUSTOMER"
"1075838979::326","MOVIE_STORE",Table,"MOVIE_STORE","MOVIE_STORE",""
"1075838979::338","PAYMENT",Table,"PAYMENT","PAYMENT","A PAYMENT is received when a customer rents a movie"
